@relation train_vectors-weka.filters.unsupervised.attribute.Remove-R130

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 numeric
@attribute v18 numeric
@attribute v19 numeric
@attribute v20 numeric
@attribute v21 numeric
@attribute v22 numeric
@attribute v23 numeric
@attribute v24 numeric
@attribute v25 numeric
@attribute v26 numeric
@attribute v27 numeric
@attribute v28 numeric
@attribute v29 numeric
@attribute v30 numeric
@attribute v31 numeric
@attribute v32 numeric
@attribute v33 numeric
@attribute v34 numeric
@attribute v35 numeric
@attribute v36 numeric
@attribute v37 numeric
@attribute v38 numeric
@attribute v39 numeric
@attribute v40 numeric
@attribute v41 numeric
@attribute v42 numeric
@attribute v43 numeric
@attribute v44 numeric
@attribute v45 numeric
@attribute v46 numeric
@attribute v47 numeric
@attribute v48 numeric
@attribute v49 numeric
@attribute v50 numeric
@attribute v51 numeric
@attribute v52 numeric
@attribute v53 numeric
@attribute v54 numeric
@attribute v55 numeric
@attribute v56 numeric
@attribute v57 numeric
@attribute v58 numeric
@attribute v59 numeric
@attribute v60 numeric
@attribute v61 numeric
@attribute v62 numeric
@attribute v63 numeric
@attribute v64 numeric
@attribute v65 numeric
@attribute v66 numeric
@attribute v67 numeric
@attribute v68 numeric
@attribute v69 numeric
@attribute v70 numeric
@attribute v71 numeric
@attribute v72 numeric
@attribute v73 numeric
@attribute v74 numeric
@attribute v75 numeric
@attribute v76 numeric
@attribute v77 numeric
@attribute v78 numeric
@attribute v79 numeric
@attribute v80 numeric
@attribute v81 numeric
@attribute v82 numeric
@attribute v83 numeric
@attribute v84 numeric
@attribute v85 numeric
@attribute v86 numeric
@attribute v87 numeric
@attribute v88 numeric
@attribute v89 numeric
@attribute v90 numeric
@attribute v91 numeric
@attribute v92 numeric
@attribute v93 numeric
@attribute v94 numeric
@attribute v95 numeric
@attribute v96 numeric
@attribute v97 numeric
@attribute v98 numeric
@attribute v99 numeric
@attribute v100 numeric
@attribute v101 numeric
@attribute v102 numeric
@attribute v103 numeric
@attribute v104 numeric
@attribute v105 numeric
@attribute v106 numeric
@attribute v107 numeric
@attribute v108 numeric
@attribute v109 numeric
@attribute v110 numeric
@attribute v111 numeric
@attribute v112 numeric
@attribute v113 numeric
@attribute v114 numeric
@attribute v115 numeric
@attribute v116 numeric
@attribute v117 numeric
@attribute v118 numeric
@attribute v119 numeric
@attribute v120 numeric
@attribute v121 numeric
@attribute v122 numeric
@attribute v123 numeric
@attribute v124 numeric
@attribute v125 numeric
@attribute v126 numeric
@attribute v127 numeric
@attribute label {True,False}

@data
85.65525,-288.160523,-76.833022,-149.545628,-57.852319,120.924246,-22.417014,-94.52932,495.928093,-266.329915,185.317818,32.262606,-172.535019,99.537864,56.525141,-189.323528,408.230612,98.202096,241.491917,-159.064326,207.948833,84.170777,-107.362811,439.217924,331.441864,350.092382,-148.806697,-8.620116,118.569233,11.031241,-88.324819,121.993311,-447.523071,175.935768,144.6463,-281.983982,64.334743,-274.289817,147.815597,-126.102235,295.776426,-233.930127,231.038231,107.689412,-182.733577,271.912651,450.964211,-50.052074,6.993702,-57.75647,46.588216,-98.145746,-31.311379,-336.144398,-495.169567,-91.191354,-123.771136,-191.153929,-160.940517,62.539092,-193.52415,-48.660908,143.900225,33.188017,359.605147,42.847568,-383.58563,3.617292,25.447381,-29.255593,-140.253515,-51.260678,-222.45326,-130.167818,-175.673709,-260.144291,330.414845,-84.654234,586.733713,169.566004,81.758327,-373.834887,20.476481,-11.636771,0.316985,-318.145279,-384.295069,64.935154,-119.347718,69.159268,-286.533242,-300.11636,-67.365434,194.285361,150.074624,158.377131,-171.077357,-179.026299,263.412948,-37.020959,-202.704816,-301.686675,-39.726248,240.70016,-306.369764,217.754037,-258.998479,25.587856,-109.326634,478.573861,77.304794,-298.719185,83.691267,552.304788,47.578144,177.447263,8.522112,193.453841,-9.85341,158.551659,294.805877,-68.75069,-51.046078,-390.917551,8.523933,-360.190332,-189.505879,-186.518814,True
749.565475,-2775.822534,-719.533459,-1394.386769,-574.097717,1194.942008,-200.955899,-908.198527,4676.047751,-2516.679158,1730.226659,247.992415,-1616.961357,968.859981,554.975209,-1776.408227,3891.717987,912.796354,2259.050969,-1540.205497,1981.444206,736.06764,-985.230789,4211.143252,3134.219431,3305.070332,-1416.036764,-108.36744,1174.957394,77.841259,-838.952364,1114.669815,-4226.930102,1620.334476,1347.386283,-2648.107225,560.437552,-2608.568482,1371.94615,-1179.035839,2847.782163,-2219.296335,2128.297273,1064.99563,-1722.204206,2555.689457,4245.183681,-491.834798,102.069152,-496.367384,448.773688,-939.316533,-279.577436,-3126.98973,-4720.019276,-810.063973,-1127.998916,-1812.670251,-1478.945787,569.840346,-1811.938457,-420.880651,1379.400162,285.579184,3394.516346,375.552767,-3626.533373,5.263712,242.069804,-283.237223,-1334.630354,-505.652878,-2084.69547,-1196.867007,-1701.754539,-2478.80455,3119.47245,-780.56884,5545.321674,1617.513056,787.605252,-3549.407991,156.22075,-89.954484,100.369835,-2996.142839,-3559.17762,603.891005,-1116.323553,670.088426,-2725.220048,-2844.082376,-645.12512,1825.975919,1440.564004,1487.716724,-1636.904791,-1664.928643,2515.274414,-347.202938,-1859.502533,-2875.842289,-361.691288,2272.930939,-2889.043124,2058.078984,-2444.610397,218.99243,-1044.53662,4540.907873,733.320645,-2794.124154,788.098997,5173.394404,499.570944,1658.111062,37.078295,1840.924376,-81.111338,1490.938609,2774.258044,-677.862386,-509.891472,-3706.982611,116.178677,-3399.620512,-1842.752121,-1773.982505,True
383.316615,-1473.782085,-379.425694,-719.933282,-316.825058,632.751544,-101.614382,-484.440614,2457.687822,-1322.564777,901.081077,121.195289,-842.858943,525.817891,294.018642,-934.661746,2056.271607,474.824676,1184.692275,-822.892308,1049.353083,366.510366,-505.572629,2238.703894,1642.726178,1735.20889,-736.435527,-61.467693,634.503813,39.082263,-450.728318,574.555461,-2218.100204,846.579579,704.244509,-1386.072983,284.02351,-1369.101806,727.110821,-621.939413,1501.817937,-1164.857165,1106.911028,565.140845,-902.386925,1346.253243,2236.083129,-272.392565,72.407757,-250.222649,228.409903,-492.321011,-138.687298,-1639.361782,-2497.324006,-407.204495,-583.640475,-952.153663,-763.485043,296.701255,-946.426782,-212.740993,738.385797,145.024627,1790.752314,194.227152,-1908.737855,7.809333,137.991826,-149.843602,-705.757776,-281.671003,-1093.810489,-622.44953,-907.953255,-1307.726684,1637.522619,-405.433428,2929.985783,852.576252,413.031286,-1878.527371,71.563302,-42.200281,83.819505,-1572.430789,-1845.730623,307.265365,-586.861808,359.799369,-1437.515849,-1504.943075,-337.583158,961.300919,762.419283,785.578621,-869.329872,-861.711483,1325.218417,-177.526632,-963.866859,-1525.410767,-189.160183,1199.590435,-1520.068578,1090.065859,-1280.182095,108.540077,-557.026021,2393.362052,391.132456,-1460.993206,410.023736,2707.915705,274.814355,868.273728,15.136229,980.175396,-41.398294,787.69974,1451.900426,-362.725158,-272.938158,-1955.040262,75.327981,-1801.034301,-987.056421,-931.954113,True
5.480169,-17.884586,-4.956395,-9.553157,-3.443957,7.476464,-1.488447,-5.842226,31.252824,-16.701016,11.7628,2.231908,-10.891724,6.069626,3.609084,-11.938801,25.52209,6.249532,15.212944,-9.762792,12.918934,5.543284,-6.942854,27.292372,20.864631,22.104929,-9.372055,-0.411981,7.193477,0.780619,-5.488177,7.767077,-28.185893,11.254481,9.074478,-17.868321,4.308253,-17.123018,9.345433,-7.879865,18.387465,-14.725596,14.741028,6.660209,-11.545524,17.139485,28.268179,-2.95877,0.190255,-3.83047,2.98887,-6.144384,-2.058472,-21.299233,-30.905361,-5.90393,-8.012353,-11.991079,-10.343573,4.006531,-12.241923,-3.138288,8.904909,2.310482,22.57857,2.714746,-24.023399,0.177735,1.564212,-1.843168,-8.758006,-3.05937,-14.014811,-8.355338,-10.773721,-16.3219,20.836931,-5.368998,36.782884,10.710748,5.060597,-23.36134,1.490623,-0.854309,-0.447074,-20.031235,-24.502783,4.207869,-7.500099,4.234786,-17.906401,-18.8128,-4.276779,12.17123,9.318163,9.949644,-10.618732,-11.404259,16.512592,-2.319742,-12.973402,-18.782407,-2.521744,15.090736,-19.342954,13.642823,-16.365488,1.770541,-6.809577,30.017123,4.790578,-18.872442,5.26477,35.020259,2.800369,11.110899,0.689953,12.051882,-0.6163,9.900108,18.573191,-4.197801,-3.125309,-24.604576,0.352108,-22.503585,-11.574448,-11.741669,True
7.662554,-25.223578,-6.777138,-13.22737,-4.968262,10.569088,-2.00364,-8.285994,43.667979,-23.493249,16.366933,2.92557,-15.213328,8.660174,4.960769,-16.666285,35.840208,8.681457,21.286696,-13.880951,18.274729,7.585232,-9.566974,38.500983,29.192251,30.857004,-13.100619,-0.702589,10.295213,1.005025,-7.719004,10.822707,-39.430355,15.588192,12.763545,-24.877648,5.770789,-24.170537,13.070257,-11.118752,25.93466,-20.608593,20.473475,9.413845,-16.094434,23.94672,39.725874,-4.317159,0.516275,-5.208188,4.09982,-8.637611,-2.790406,-29.675346,-43.466898,-8.167223,-10.984004,-16.807514,-14.2819,5.543116,-17.072972,-4.367791,12.595578,2.975939,31.632828,3.806617,-33.734015,0.315159,2.192459,-2.572232,-12.329417,-4.435621,-19.60006,-11.548803,-15.354963,-22.859351,29.113458,-7.53616,51.616907,14.941133,7.154571,-32.836563,1.906772,-1.074943,-0.216868,-28.044929,-34.037407,5.745096,-10.54948,6.019608,-25.199439,-26.343935,-5.918172,17.094794,13.149216,13.935489,-14.970254,-15.842148,23.12089,-3.261566,-17.98153,-26.463437,-3.50881,21.176319,-26.966737,19.146363,-22.806077,2.294116,-9.573643,42.101541,6.775654,-26.36082,7.390786,48.753876,4.066622,15.653485,0.843667,16.97295,-0.881947,13.980645,25.987416,-5.993291,-4.42617,-34.416917,0.662582,-31.66677,-16.547756,-16.418464,True
63.789643,-227.897029,-59.539361,-113.592405,-46.228691,99.098284,-17.180225,-74.209062,384.043284,-205.559443,141.979726,18.47052,-131.695601,77.344984,47.61861,-147.271345,320.439206,74.772373,184.695257,-124.271103,164.629681,61.985952,-82.433853,344.488026,257.044408,268.034921,-118.532333,-9.062736,96.538511,5.303299,-68.752231,91.133084,-349.160187,133.141458,112.154895,-217.013386,47.063066,-215.471728,112.163604,-95.964725,233.80118,-181.237305,176.273246,88.123262,-138.533589,209.645382,350.424556,-40.522714,6.523237,-40.069805,35.912084,-75.25747,-21.396178,-257.488718,-384.275991,-67.255048,-93.147665,-147.918641,-120.751144,44.200387,-146.577654,-35.650028,111.404307,23.767287,277.546258,31.045925,-298.535144,-2.813516,20.490002,-22.295111,-106.186575,-38.769755,-168.956686,-95.792672,-142.221616,-203.929261,256.299283,-63.323574,454.550253,133.007758,66.854846,-291.722722,12.763112,-8.97683,6.668,-245.45165,-292.023577,49.076499,-91.044778,53.122889,-221.87915,-231.39755,-53.498731,148.938071,120.198924,122.795973,-135.74968,-138.513401,206.324131,-26.536212,-155.028802,-234.466323,-29.706081,186.880122,-235.137406,166.980628,-201.15293,17.081367,-82.763896,371.908962,61.502796,-231.08598,63.879994,422.763932,41.441703,135.928589,2.417243,148.064206,-7.415991,120.998562,227.672337,-52.646671,-40.85164,-302.021425,7.976497,-277.575976,-149.071577,-148.152457,True
962.736582,-3622.08742,-955.539851,-1825.086583,-746.806954,1561.699598,-262.289588,-1186.373569,6113.589624,-3277.119751,2254.668612,332.590813,-2109.541999,1258.713402,746.685558,-2321.161327,5070.918894,1188.064053,2947.847778,-1996.191695,2579.116484,960.886515,-1294.867454,5480.523709,4095.60322,4318.202708,-1841.698649,-137.757058,1525.461193,100.256473,-1096.085151,1454.838659,-5518.134253,2123.039212,1750.706069,-3464.135364,746.857997,-3390.619553,1786.525564,-1526.430735,3715.550861,-2904.639473,2772.812152,1398.147911,-2253.009038,3340.146201,5524.44961,-633.967244,119.931301,-654.590513,593.012267,-1230.513597,-365.575311,-4083.943416,-6150.663742,-1054.825661,-1485.721304,-2360.034886,-1935.097843,742.367261,-2370.925733,-542.999221,1795.012136,383.72766,4424.878821,487.114221,-4727.88415,0.959827,320.621077,-371.526519,-1733.387431,-650.326645,-2720.373697,-1567.88913,-2207.973722,-3240.082664,4076.433328,-1017.860639,7227.104634,2123.520138,1026.975228,-4631.067071,201.701226,-124.24415,115.604395,-3909.208681,-4651.527817,800.287367,-1455.534542,872.159738,-3549.10978,-3710.591923,-845.868027,2372.974474,1877.247722,1938.01521,-2139.325828,-2183.496764,3291.42486,-453.761953,-2430.780226,-3749.553899,-474.198672,2960.642335,-3774.74524,2683.778678,-3201.842753,295.130433,-1362.104986,5928.526885,953.536454,-3648.069079,1027.999488,6774.84145,655.725901,2162.659399,55.996361,2397.92699,-98.330199,1933.340497,3624.578262,-873.229464,-660.784121,-4845.550643,143.650684,-4423.426958,-2390.246533,-2313.318292,True
145.251043,-656.984132,-165.747826,-321.020806,-141.657718,298.812446,-33.843435,-227.567302,1087.17334,-561.682148,387.449319,42.57426,-367.058056,216.559209,162.880257,-405.626772,888.793126,205.68858,510.083221,-348.129005,460.570229,156.929174,-225.191969,953.318077,733.969412,753.783113,-327.092402,-34.025373,284.316183,-8.47251,-190.724353,258.377635,-975.127945,364.403556,303.829153,-599.363063,126.992316,-589.747665,286.553668,-247.667057,684.707022,-529.828311,460.802243,279.194297,-392.726582,573.108842,964.458349,-122.968497,15.569126,-101.656623,109.141192,-219.900595,-60.96424,-700.441933,-1081.401467,-186.065917,-258.388026,-410.967405,-341.679521,110.103798,-402.453481,-73.266677,288.85833,54.686553,758.046897,70.94657,-833.058386,-25.865126,53.03416,-62.020847,-301.881887,-89.366526,-451.091712,-255.277744,-409.856657,-585.264489,721.588202,-187.984258,1247.166944,389.966428,190.776185,-812.949402,15.786921,-20.440153,38.184726,-669.861334,-800.778935,151.587348,-252.960196,141.596093,-606.24204,-639.255502,-146.308845,409.692678,343.31845,329.658176,-386.506428,-399.802498,589.399856,-90.938727,-434.589876,-654.735414,-95.682434,505.014738,-660.358659,452.968937,-571.194463,58.790325,-221.40097,1047.289842,165.498358,-654.648424,183.955658,1180.936606,140.109258,385.10486,9.982251,396.348676,-23.11422,328.662548,662.744635,-138.334581,-119.907369,-849.151952,39.456395,-749.24259,-421.207086,-404.817391,True
109.38284,-370.405503,-98.125485,-192.913626,-73.73762,156.198574,-29.048089,-121.971588,637.271688,-340.722438,237.926059,40.031894,-221.294386,127.381456,74.19416,-242.804977,523.68334,126.020208,309.522233,-203.398463,266.991211,107.602051,-138.202443,562.166247,426.153632,449.194094,-191.577107,-11.419039,152.575432,13.794933,-112.306538,155.928237,-575.107304,225.749314,184.990219,-362.078561,82.66694,-351.624947,187.983109,-159.935321,379.695955,-300.484914,295.426957,139.621329,-233.850099,348.94444,577.97235,-64.216869,8.027253,-73.74045,61.251448,-125.885218,-40.815705,-430.55676,-635.282702,-117.015536,-158.58665,-244.767089,-206.117904,80.21254,-247.958356,-61.817377,183.89054,42.958501,461.06648,53.916394,-491.881818,3.238712,32.688085,-37.466121,-179.396618,-64.343446,-284.628977,-166.198213,-225.609686,-336.121304,424.332698,-108.900471,751.887369,218.199103,105.459641,-480.032313,25.968127,-15.958818,0.992866,-408.041724,-493.187512,83.614011,-152.660183,88.386807,-366.718502,-384.837672,-87.810658,248.245058,193.043674,203.026257,-219.279801,-230.767353,339.504357,-48.09771,-260.711131,-387.095833,-51.899431,308.369707,-393.70014,278.464751,-333.67938,33.186662,-139.166167,613.946309,98.628403,-383.076184,107.330087,709.065799,62.234431,228.149331,11.10392,246.558395,-12.856598,202.056527,378.920472,-87.849685,-65.476101,-502.248516,10.828738,-460.192435,-241.793409,-239.874083,True
110.716783,-414.786957,-108.778608,-208.761788,-86.327831,178.652199,-29.735819,-136.455024,699.93395,-374.633148,257.472956,37.291184,-241.745671,144.869805,84.344803,-266.266546,580.852541,136.605343,337.782204,-228.45824,295.276158,109.771039,-146.995896,627.486406,469.118111,493.367965,-210.127741,-15.680123,175.446991,11.581974,-125.791446,166.099004,-630.750039,242.794196,200.208202,-395.350142,84.117784,-387.333262,204.779331,-174.887101,424.645125,-333.161491,316.982019,160.106911,-256.846462,382.361136,632.946635,-73.754081,14.662208,-74.535203,66.928383,-140.539004,-42.632842,-468.14015,-704.760728,-120.878396,-169.513306,-268.483574,-221.565284,84.370783,-270.084731,-61.13518,205.337883,43.898494,506.673689,55.840899,-541.331648,0.369589,38.111783,-42.687189,-199.188472,-75.832894,-311.019494,-179.629071,-253.182478,-370.999013,465.69711,-116.845049,828.170544,242.838648,118.499177,-530.289235,22.841662,-14.073929,14.346001,-447.438626,-531.036382,90.543613,-165.991834,100.200433,-406.100941,-424.399844,-96.676727,272.538422,214.95568,222.741011,-245.175137,-249.453082,376.429673,-52.523064,-278.177047,-428.822725,-54.696957,338.166691,-431.753476,306.581921,-366.26051,32.946684,-155.820315,677.293856,109.525659,-417.176677,117.186621,774.983433,75.423779,248.472596,5.934183,274.700199,-12.332537,221.964283,414.642905,-100.068477,-76.404722,-554.302385,17.543337,-507.182954,-273.860413,-264.305782,True
